id,nome,data_validade,quantidade
"485","Premium Sabonete","2026-05-16","334"
"210","Delicioso Suco","2026-05-16","340"
"1987","Fresco Manteiga","2026-05-17","51"
"476","Premium Peixe","2026-05-17","279"
"1102","Tradicional Frango","2026-05-17","122"
"412","Premium Suco","2026-05-17","276"
"1133","Ácido Frango","2026-05-18","307"
"1967","Integral Peixe","2026-05-18","306"
"249","Natural Iogurte","2026-05-18","239"
"505","Doce Carne","2026-05-18","459"
"1850","Integral Suco","2026-05-18","221"
"756","Tradicional Suco","2026-05-18","79"
"930","Suave Peixe","2026-05-18","367"
"1012","Tradicional Manteiga","2026-05-18","391"
"1564","Doce Iogurte","2026-05-18","123"
"1348","Integral Manteiga","2026-05-18","256"
"1599","Premium Suco","2026-05-19","436"
"1789","Delicioso Sabonete","2026-05-19","364"
"1475","Suave Carne","2026-05-19","154"
"516","Tradicional Leite","2026-05-20","403"
"1142","Delicioso Manteiga","2026-05-20","258"
"956","Delicioso Biscoito","2026-05-20","24"
"1887","Delicioso Frango","2026-05-20","358"
"1984","Ácido Frango","2026-05-21","329"
"1242","Premium Arroz","2026-05-21","199"
"928","Crocante Queijo","2026-05-21","383"
"1401","Orgânico Manteiga","2026-05-21","68"
"335","Tradicional Pão","2026-05-22","167"
"1893","Fresco Leite","2026-05-22","185"
"345","Integral Leite","2026-05-22","217"
"1512","Natural Suco","2026-05-22","393"
"1764","Natural Carne","2026-05-22","21"
"111","Doce Arroz","2026-05-23","178"
"620","Ácido Biscoito","2026-05-23","393"
"1994","Suave Sabonete","2026-05-23","158"
"685","Delicioso Peixe","2026-05-23","245"
"1556","Natural Arroz","2026-05-23","36"
"875","Natural Suco","2026-05-24","275"
"694","Fresco Manteiga","2026-05-24","371"
"1360","Suave Frango","2026-05-24","154"
"1435","Crocante Frango","2026-05-24","29"
"1896","Crocante Frango","2026-05-24","191"
"490","Ácido Leite","2026-05-24","178"
"1465","Suave Biscoito","2026-05-25","154"
"181","Crocante Sabonete","2026-05-25","63"
"1499","Premium Carne","2026-05-25","435"
"988","Orgânico Arroz","2026-05-26","47"
"736","Crocante Iogurte","2026-05-26","297"
"1957","Crocante Sabonete","2026-05-26","276"
"212","Suave Detergente","2026-05-26","253"
"159","Orgânico Carne","2026-05-26","180"
"154","Integral Sabonete","2026-05-26","186"
"1796","Suave Biscoito","2026-05-26","394"
"1786","Delicioso Frango","2026-05-27","310"
"724","Integral Suco","2026-05-27","241"
"284","Orgânico Leite","2026-05-27","148"
"62","Ácido Manteiga","2026-05-28","396"
"88","Doce Sabonete","2026-05-28","51"
"222","Delicioso Biscoito","2026-05-28","497"
"666","Natural Suco","2026-05-28","329"
"1052","Natural Feijão","2026-05-28","406"
"1629","Ácido Queijo","2026-05-28","27"
"1897","Delicioso Peixe","2026-05-28","289"
"955","Tradicional Pão","2026-05-29","418"
"421","Fresco Manteiga","2026-05-29","426"
"1100","Orgânico Manteiga","2026-05-29","457"
"1779","Delicioso Peixe","2026-05-30","323"
"1131","Fresco Pão","2026-05-30","140"
"1667","Natural Carne","2026-05-30","83"
"924","Delicioso Queijo","2026-05-30","328"
"221","Ácido Biscoito","2026-05-31","389"
"112","Delicioso Iogurte","2026-05-31","386"
"287","Premium Queijo","2026-05-31","154"
"538","Fresco Feijão","2026-05-31","166"
"1886","Natural Carne","2026-05-31","22"
"731","Integral Feijão","2026-05-31","475"
"1152","Suave Leite","2026-06-01","371"
"389","Suave Frango","2026-06-01","396"
"1016","Suave Leite","2026-06-01","72"
"1637","Ácido Feijão","2026-06-01","443"
"1522","Natural Feijão","2026-06-01","216"
"1732","Orgânico Peixe","2026-06-01","428"
"374","Tradicional Carne","2026-06-01","419"
"142","Natural Queijo","2026-06-01","457"
"1344","Orgânico Sabonete","2026-06-02","12"
"989","Doce Peixe","2026-06-02","31"
"752","Premium Queijo","2026-06-02","422"
"1094","Natural Iogurte","2026-06-02","159"
"1683","Doce Iogurte","2026-06-02","167"
"1095","Suave Manteiga","2026-06-02","248"
"223","Natural Manteiga","2026-06-02","27"
"1218","Ácido Arroz","2026-06-03","36"
"885","Doce Iogurte","2026-06-03","249"
"763","Suave Feijão","2026-06-03","263"
"634","Delicioso Leite","2026-06-03","164"
"612","Doce Pão","2026-06-03","62"
"527","Natural Manteiga","2026-06-03","129"
"94","Ácido Detergente","2026-06-03","397"
"662","Fresco Sabonete","2026-06-04","5"
"1201","Natural Queijo","2026-06-04","127"
"744","Fresco Feijão","2026-06-04","336"
"256","Ácido Pão","2026-06-04","436"
"844","Crocante Detergente","2026-06-04","206"
"1687","Integral Leite","2026-06-04","190"
"1148","Suave Queijo","2026-06-04","460"
"1155","Premium Carne","2026-06-04","408"
"467","Orgânico Iogurte","2026-06-04","407"
